date,author,num_commits,num_lines_added,num_lines_removed
2022-09-12,Pablo Rosado,7,381,60
2022-09-12,spoonerf,1,766,37
2022-09-13,GitHub Action,25,26,26
2022-09-13,Mojmir Vinkler,1,135,106
2022-09-13,lucasrodes,2,30,13
2022-09-13,spoonerf,3,592,773
2022-09-14,GitHub Action,15,15,15
2022-09-14,Lars Yencken,1,3,3
2022-09-14,Marigold,2,2,2
2022-09-14,Mojmir Vinkler,1,1,1
2022-09-14,Pablo Rosado,6,421,23
2022-09-14,lucasrodes,6,33,14
2022-09-14,spoonerf,4,268,128
2022-09-15,GitHub Action,14,14,14
2022-09-15,Mojmir Vinkler,1,494,560
2022-09-15,Pablo Rosado,17,349,196
2022-09-15,lucasrodes,1,6,6
2022-09-15,spoonerf,2,60,100
2022-09-16,Fiona Spooner,3,0,26
2022-09-16,GitHub Action,8,8,8
2022-09-16,Marigold,2,216,217
2022-09-16,Mojmir Vinkler,1,5,28
2022-09-16,spoonerf,6,132,77
2022-09-17,GitHub Action,8,8,8
2022-09-18,GitHub Action,8,8,8
2022-09-19,GitHub Action,15,15,15
2022-09-19,Marigold,1,10,0
2022-09-19,Mojmir Vinkler,1,14,6
2022-09-19,Pablo Rosado,4,196,5
2022-09-20,GitHub Action,15,15,15
2022-09-20,Lars Yencken,1,11,1
2022-09-20,Mojmir Vinkler,1,19,0
2022-09-20,Pablo Rosado,4,216,458
2022-09-20,spoonerf,7,174,83
2022-09-21,GitHub Action,13,14,14
2022-09-21,Marigold,1,10,1
2022-09-21,Mojmir Vinkler,3,305,93
2022-09-21,Pablo Rosado,4,136,3
2022-09-21,lucasrodes,2,86,9
2022-09-21,spoonerf,2,3,55
2022-09-22,GitHub Action,17,17,17
2022-09-22,Lars Yencken,1,12,1
2022-09-22,Marigold,3,157,650
2022-09-22,Mojmir Vinkler,2,333,141
2022-09-22,Pablo Rosado,7,590,310
2022-09-22,spoonerf,3,6,13
2022-09-23,GitHub Action,19,20,20
2022-09-23,Lucas Rodés-Guirao,1,306,155
2022-09-23,Marigold,1,6,2
2022-09-23,Mojmir Vinkler,3,194,198
2022-09-23,Pablo Rosado,10,726,79
2022-09-24,GitHub Action,27,28,28
2022-09-24,Lars Yencken,7,2084,356
2022-09-25,GitHub Action,8,8,8
2022-09-26,GitHub Action,41,41,41
2022-09-26,Lucas Rodés-Guirao,2,78,4
2022-09-26,Mojmir Vinkler,1,38,24
2022-09-26,Pablo Rosado,5,354,1474
2022-09-27,GitHub Action,19,19,19
2022-09-27,Lucas Rodés-Guirao,2,161,52
2022-09-27,Mojmir Vinkler,2,36,18
2022-09-27,lucasrodes,1,7,2
2022-09-28,Fiona Spooner,1,724,1
2022-09-28,GitHub Action,15,15,15
2022-09-28,Lars Yencken,6,24,22
2022-09-28,Pablo Rosado,11,339,86
2022-09-29,Fiona Spooner,1,75,31
2022-09-29,GitHub Action,42,42,42
2022-09-29,Lucas Rodés-Guirao,1,6,2
2022-09-29,Pablo Rosado,1,81,0
2022-09-30,GitHub Action,21,21,21
2022-09-30,Lars Yencken,3,12,13
2022-09-30,Mojmir Vinkler,1,25,30
2022-09-30,Pablo Rosado,7,737,166
2022-10-01,GitHub Action,11,11,11
2022-10-02,GitHub Action,8,8,8
2022-10-03,Fiona Spooner,1,260,0
2022-10-03,GitHub Action,10,10,10
2022-10-03,Pablo Rosado,7,182,41
2022-10-04,GitHub Action,11,11,11
2022-10-04,Pablo Rosado,3,7,5
2022-10-05,GitHub Action,17,17,17
2022-10-05,Lucas Rodés-Guirao,3,120,35
2022-10-05,Marigold,1,165,683
2022-10-06,Daniel Bachler,2,3,2
2022-10-06,GitHub Action,17,17,17
2022-10-06,Pablo Rosado,1,4,1
2022-10-07,GitHub Action,21,21,21
2022-10-07,Pablo Rosado,2,102,66
2022-10-08,GitHub Action,8,8,8
2022-10-09,GitHub Action,8,8,8
2022-10-10,GitHub Action,31,31,31
2022-10-10,Lucas Rodés-Guirao,1,84,26
2022-10-10,Pablo Rosado,5,595,240
2022-10-10,lucasrodes,1,6,3
2022-10-11,GitHub Action,28,28,28
2022-10-11,Lucas Rodés-Guirao,1,39,35
2022-10-11,Pablo Rosado,8,1856,222
2022-10-12,GitHub Action,17,17,17
2022-10-12,Pablo Rosado,4,93,14
2022-10-13,GitHub Action,26,26,26
2022-10-13,Lars Yencken,1,2,2
2022-10-13,Pablo Rosado,2,668,169
2022-10-14,GitHub Action,26,26,26
2022-10-14,Pablo Rosado,1,63,4
2022-10-15,GitHub Action,8,8,8
2022-10-16,GitHub Action,11,11,11
2022-10-17,Fiona Spooner,2,545,1
2022-10-17,GitHub Action,24,24,24
2022-10-17,Mojmir Vinkler,1,4,0
2022-10-18,GitHub Action,12,12,12
2022-10-18,Marigold,1,1,1
2022-10-18,Mojmir Vinkler,2,31,56
2022-10-18,Pablo Rosado,7,319,69
2022-10-19,Fiona Spooner,1,123,2
2022-10-19,GitHub Action,8,8,8
2022-10-20,GitHub Action,14,14,14
2022-10-20,Pablo Rosado,9,664,46
2022-10-21,GitHub Action,13,13,13
2022-10-21,Marigold,1,12,3
2022-10-21,Mojmir Vinkler,1,31,7
2022-10-21,Pablo Rosado,6,324,100
2022-10-22,GitHub Action,8,8,8
2022-10-23,GitHub Action,8,8,8
2022-10-24,GitHub Action,37,37,37
2022-10-24,Marigold,2,51,3
2022-10-24,Mojmir Vinkler,1,140,622
2022-10-24,Pablo Rosado,9,234,37
2022-10-25,GitHub Action,19,19,19
2022-10-25,Lucas Rodés-Guirao,2,824,161
2022-10-25,Marigold,1,9,2
2022-10-25,Pablo Rosado,6,346,13
2022-10-26,GitHub Action,24,24,24
2022-10-26,Lucas Rodés-Guirao,2,247,1
2022-10-26,Marigold,1,1,1
2022-10-26,Pablo Rosado,7,451,180
2022-10-26,lucasrodes,1,1,1
2022-10-27,Fiona Spooner,1,12,0
2022-10-27,GitHub Action,19,19,19
2022-10-27,Lucas Rodés-Guirao,1,415,152
2022-10-28,GitHub Action,11,11,11
2022-10-28,Pablo Rosado,2,729,0
2022-10-29,GitHub Action,15,15,15
2022-10-30,GitHub Action,8,8,8
2022-10-31,GitHub Action,22,22,22
2022-10-31,Lucas Rodés-Guirao,1,1382,81
2022-10-31,Marigold,3,7,8
2022-10-31,Mojmir Vinkler,2,227,85
2022-10-31,Pablo Rosado,3,192,135
2022-10-31,lucasrodes,2,1,1067
2022-11-01,Fiona Spooner,1,529,1
2022-11-01,GitHub Action,36,36,36
2022-11-01,Marigold,1,2,1
2022-11-01,Pablo Rosado,2,73,23
2022-11-02,GitHub Action,19,19,19
2022-11-02,Marigold,3,269,658
2022-11-02,Pablo Rosado,3,69,33
2022-11-03,GitHub Action,20,21,21
2022-11-03,Marigold,1,110,155
2022-11-03,Pablo Rosado,4,189,71
2022-11-04,GitHub Action,25,25,25
2022-11-04,Lars Yencken,1,1,1
2022-11-04,Lucas Rodés-Guirao,2,451,18
2022-11-04,Marigold,4,25,22
